opp_user_id,opp_name,opp_nfl_display,reg_record,reg_win_pct,reg_pf,reg_pa,playoff_record,playoff_win_pct,playoff_pf,playoff_pa,total_record,total_games
21679447,Mason,Mason,3-5-0,0.375,1007.4,958.78,1-0-0,1.0,141.92,129.98,4-5-0,9
21688760,Sean,sean,4-3-0,0.5714,873.12,904.32,1-0-0,1.0,168.8,149.7,5-3-0,8
21680417,Chris,Chris,6-5-0,0.5455,1328.94,1372.74,0-2-0,0.0,258.12,305.92,6-7-0,13
25033943,Isaac,Isaac,4-4-0,0.5,1007.7,1077.92,0-0-0,,0.0,0.0,4-4-0,8
21680087,Kyle,Kyle,4-7-0,0.3636,1204.88,1386.82,2-0-0,1.0,262.56,207.08,6-7-0,13
21679454,Connie,Connor,6-2-0,0.75,1255.32,1142.22,0-1-0,0.0,126.12,163.34,6-3-0,9
22539599,Charlie,Charlie,6-2-0,0.75,1123.5,1003.72,0-0-0,,0.0,0.0,6-2-0,8
25036608,Luke,Luke,5-4-0,0.5556,1123.28,1206.4,0-0-0,,0.0,0.0,5-4-0,9
30533399,Evan,Evan,2-1-0,0.6667,384.88,384.64,0-0-0,,0.0,0.0,2-1-0,3
21680682,Andrew,Ricci,5-3-0,0.625,983.44,945.56,1-0-0,1.0,151.28,109.4,6-3-0,9
21239480,Connor,Cat,2-5-0,0.2857,883.38,913.12,0-0-0,,0.0,0.0,2-5-0,7
