season,final_rank,team_id,team_name,owner,division,division_rank,overall_rank_reg_season,wins,losses,ties,win_pct,points_for,points_against,streak
2019,1,1,On Jah,Joey,,,2,9,4,0,0.692,1759.7,1479.02,W5
2019,2,3,Mdog346,Mason,,,1,11,2,0,0.846,1768.48,1459.24,W5
2019,3,6,Man tit,Krish,,,4,7,6,0,0.538,1690.54,1503.8,L1
2019,4,12,i wish i actually drafted,,,,3,8,5,0,0.615,1475.7,1585.3,W3
2019,5,7,instant kamara,,,,6,7,6,0,0.538,1504.52,1433.16,W3
2019,6,10,Tight end 1,,,,5,7,6,0,0.538,1558.92,1431.1,L2
2019,7,9,Huntingforkickers,,,,12,4,9,0,0.308,1418.28,1467.28,L4
2019,8,2,THICCCCFILA,,,,10,6,7,0,0.462,1430.96,1544.18,W1
2019,9,15,PurpleCobras,,,,7,7,6,0,0.538,1455.22,1493.06,L1
2019,10,8,Prestige Worldwide,,,,8,7,6,0,0.538,1448.96,1465.28,W1
2019,11,11,Wheyman,,,,11,6,7,0,0.462,1302.84,1461.62,W1
2019,12,14,dumb thots,,,,9,7,6,0,0.538,1441.1,1501.8,L4
2019,13,5,Fuk Joey,,,,13,3,10,0,0.231,1362.84,1541.4,L1
2019,14,13,MiamiDolphins,,,,14,2,11,0,0.154,1475.82,1727.64,L3
