user_id,owner,is_current_member,seasons_played,championship_appearances,top_3_finishes,playoff_appearances,perfect_reg_seasons,winless_reg_seasons,avg_final_rank,best_finish,worst_finish,longest_win_streak,longest_win_streak_when,longest_loss_streak,longest_loss_streak_when
21679440,Joey,True,7,2,4,7,,,5.0,1,10,8,W9 2021 → W16 2021,9,W2 2023 → W10 2023
21679454,Connie,True,7,3,3,7,,,5.86,1,12,7,W13 2023 → W3 2024,9,W11 2021 → W3 2022
21679447,Mason,True,7,2,2,7,,,6.71,1,12,7,W4 2025 → W10 2025,4,W9 2024 → W12 2024
22539599,Charlie,True,7,0,0,7,,,8.14,4,12,5,W15 2021 → W2 2022,4,W12 2020 → W16 2020
21680087,Kyle,True,7,0,0,6,,,6.71,4,13,6,W8 2021 → W13 2021,7,W5 2019 → W11 2019
21688760,Sean,True,7,0,2,7,,,7.0,3,12,6,W3 2021 → W8 2021,7,W10 2019 → W1 2020
21680267,Krish,False,1,0,1,1,,,3.0,3,3,4,W4 2019 → W7 2019,0,
5159801,John,False,1,0,0,0,,,14.0,14,14,0,,6,W1 2019 → W6 2019
21680276,CJ,False,4,0,0,4,,,6.0,4,8,4,W4 2020 → W7 2020,9,W6 2021 → W14 2021
21687734,Ari,False,1,0,0,1,,,4.0,4,4,4,W2 2019 → W5 2019,0,
21680417,Chris,True,7,2,2,7,,,6.43,1,11,7,W10 2021 → W17 2021,5,W15 2019 → W3 2020
21687512,Costigan,False,1,0,0,1,,,11.0,11,11,4,W4 2019 → W7 2019,5,W8 2019 → W12 2019
21680682,Andrew,True,7,2,3,7,,,5.0,1,12,7,W12 2020 → W2 2021,6,W8 2023 → W13 2023
21239480,Connor,True,7,0,1,7,,,8.43,3,11,4,W8 2019 → W11 2019,5,W5 2022 → W9 2022
25036608,Luke,True,6,1,1,6,,,7.83,1,12,5,W6 2020 → W10 2020,6,W13 2020 → W2 2021
25033943,Isaac,True,6,2,2,6,,,5.83,1,11,7,W6 2025 → W12 2025,8,W17 2023 → W7 2024
30533399,Evan,True,3,0,0,3,,,6.67,5,8,4,W5 2023 → W8 2023,4,W7 2024 → W10 2024
